id,prompt,prediction,gold,correct,running_accuracy
0," Answer the following multiple choice question about Mauwake grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 0:
You are a linguist specializing in Mauwake. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): mua ___ sira
Gloss (with missing item): man ___ custom
The English translation of this sentence is:`the burial custom (lit: the custom of burying men)'
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: Both nouns \REF{ex:3:x7} and adjectives \REF{ex:3:x8} may be derived from verbs with the nominalizer suffix \nobreakdash-\textstyleStyleVernacularWordsItalic{owa}.
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: soop-owa	 gloss: bury-NMZ
B: word: ekap-owa	 gloss: come-NMZ
C: word: akua-aaw-om-owa	 gloss: shoulder-take-BEN-NMZ
D: word: wakesim-owa	 gloss: cover-NMZ

    Answer:
    ",A,A,True,1.0
1," Answer the following multiple choice question about Mauwake grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 1:
You are a linguist specializing in Mauwake. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): Emi ___ nain puuk-a-mik.
Gloss (with missing item): taboo ___ that1 cut-PA-1/3p
The English translation of this sentence is:`They broke the strong taboo rule.'
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: Both nouns \REF{ex:3:x7} and adjectives \REF{ex:3:x8} may be derived from verbs with the nominalizer suffix \nobreakdash-\textstyleStyleVernacularWordsItalic{owa}.
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: kekan-owa	 gloss: be.strong-NMZ
B: word: kekan-owa=ke	 gloss: be.strong-NMZ=CF
C: word: sande	 gloss: Sunday
D: word: gelemutu-mut	 gloss: small-RDP

    Answer:
    ",A,A,True,1.0
2," Answer the following multiple choice question about Mauwake grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 2:
You are a linguist specializing in Mauwake. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): aasa ___ fain
Gloss (with missing item): canoe ___ this
The English translation of this sentence is:`this old canoe'
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: \textstyleEmphasizedWords{{Syntactically}}, there are a few similarities between nouns and adjectives. Both can function as a modifier following the head noun in a \textstyleAcronymallcaps{np}, although adjectives \REF{ex:3:x9} are much more common in this position. In \citegen[161]{HopperEtAl1985} terms, it is nouns whose categorial status has been reduced, i.e. nouns that are not fully individuated in the discourse \REF{ex:3:x10}, that can function in this modifier position.
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: awona	 gloss: old
B: word: iperowa	 gloss: older
C: word: maneka-ya=na	 gloss: big-2/3s.DS=TP
D: word: onaiya	 gloss: with

    Answer:
    ",A,A,True,1.0
3," Answer the following multiple choice question about Mauwake grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 3:
You are a linguist specializing in Mauwake. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): mua ___ eliwa
Gloss (with missing item): man ___ good
The English translation of this sentence is:`a well-mannered man (=a good man)'
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: \textstyleEmphasizedWords{{Syntactically}}, there are a few similarities between nouns and adjectives. Both can function as a modifier following the head noun in a \textstyleAcronymallcaps{np}, although adjectives \REF{ex:3:x9} are much more common in this position. In \citegen[161]{HopperEtAl1985} terms, it is nouns whose categorial status has been reduced, i.e. nouns that are not fully individuated in the discourse \REF{ex:3:x10}, that can function in this modifier position.
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: kaik-ap	 gloss: tie-SS.SEQ
B: word: sira	 gloss: manner
C: word: maak-ep-pu-ami	 gloss: tell-SS.SEQ-CMPL-SS.SIM
D: word: sira=ke	 gloss: custom=CF

    Answer:
    ",B,B,True,1.0
4," Answer the following multiple choice question about Mauwake grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 4:
You are a linguist specializing in Mauwake. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): mua sira ___
Gloss (with missing item): man manner ___
The English translation of this sentence is:`a well-mannered man (=a good man)'
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: \textstyleEmphasizedWords{{Syntactically}}, there are a few similarities between nouns and adjectives. Both can function as a modifier following the head noun in a \textstyleAcronymallcaps{np}, although adjectives \REF{ex:3:x9} are much more common in this position. In \citegen[161]{HopperEtAl1985} terms, it is nouns whose categorial status has been reduced, i.e. nouns that are not fully individuated in the discourse \REF{ex:3:x10}, that can function in this modifier position.
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: eliwa	 gloss: good
B: word: eliw	 gloss: well
C: word: wakesim-ep-pu-ami	 gloss: cover-SS.SEQ-CMPL-SS.SIM
D: word: ele-eliwa	 gloss: RDP-good

    Answer:
    ",A,A,True,1.0
5," Answer the following multiple choice question about Mauwake grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 5:
You are a linguist specializing in Mauwake. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): mua ___
Gloss (with missing item): man ___
The English translation of this sentence is:`a real man'
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: The intensifier \textstyleStyleVernacularWordsItalic{the morpheme ___} `real(ly), very' can also modify both adjectives \REF{ex:3:x3} and nouns \REF{ex:3:x11}.
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: akena	 gloss: real/true
B: word: iw-e-mik	 gloss: give.him-PA-1/3p
C: word: unan	 gloss: Yesterday
D: word: makena	 gloss: truly

    Answer:
    ",A,A,True,1.0
6," Answer the following multiple choice question about Mauwake grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 6:
You are a linguist specializing in Mauwake. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): ifa ___
Gloss (with missing item): snake ___
The English translation of this sentence is:`bad snakes'
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: Complete or partial reduplication of adjectives is a common strategy for indicating plurality in Austronesian languages \citep[62]{Wurm1982}, and it also occurs to some extent in many Papuan languages, including Mauwake. Reduplication is a more productive process in the adjectives \REF{ex:3:x12}, \REF{ex:3:x481}, but it is possible for a few nouns too \REF{ex:3:x13}, \REF{ex:3:x1859} (\sectref{sec:3.2.6.2}).
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: damo-damola=ko	 gloss: RDP-bad=NF
B: word: atua=ke	 gloss: worm=CF
C: word: samo-samora	 gloss: RDP-bad
D: word: samora	 gloss: bad

    Answer:
    ",A,C,False,0.8571428571428571
7," Answer the following multiple choice question about Mauwake grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 7:
You are a linguist specializing in Mauwake. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): Maa ___ sesek-a-mik.
Gloss (with missing item): thing/food ___ sell-PA-1/3p
The English translation of this sentence is:`They sold good foods (different kinds).'
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: Complete or partial reduplication of adjectives is a common strategy for indicating plurality in Austronesian languages \citep[62]{Wurm1982}, and it also occurs to some extent in many Papuan languages, including Mauwake. Reduplication is a more productive process in the adjectives \REF{ex:3:x12}, \REF{ex:3:x481}, but it is possible for a few nouns too \REF{ex:3:x13}, \REF{ex:3:x1859} (\sectref{sec:3.2.6.2}).
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: en-ep-pu-ap	 gloss: eat-SS.SEQ-CMPL-SS.SEQ
B: word: samo-samora	 gloss: RDP-bad
C: word: eliwa	 gloss: good
D: word: ele-eliwa	 gloss: RDP-good

    Answer:
    ",D,D,True,0.875
8," Answer the following multiple choice question about Mauwake grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 8:
You are a linguist specializing in Mauwake. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): ___ ikiw-e-mik.
Gloss (with missing item): ___ go-PA-1/3p
The English translation of this sentence is:`They went to many villages.'
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: Complete or partial reduplication of adjectives is a common strategy for indicating plurality in Austronesian languages \citep[62]{Wurm1982}, and it also occurs to some extent in many Papuan languages, including Mauwake. Reduplication is a more productive process in the adjectives \REF{ex:3:x12}, \REF{ex:3:x481}, but it is possible for a few nouns too \REF{ex:3:x13}, \REF{ex:3:x1859} (\sectref{sec:3.2.6.2}).
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: owow	 gloss: village
B: word: owowa=pa=ko	 gloss: village=LOC=NF
C: word: owow-owowa	 gloss: RDP-village
D: word: aaw-iwkin	 gloss: get-2/3p.DS

    Answer:
    ",C,C,True,0.8888888888888888
9," Answer the following multiple choice question about Mauwake grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 9:
You are a linguist specializing in Mauwake. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): ___
Gloss (with missing item): ___
The English translation of this sentence is:`many customs', `different kinds'
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: Complete or partial reduplication of adjectives is a common strategy for indicating plurality in Austronesian languages \citep[62]{Wurm1982}, and it also occurs to some extent in many Papuan languages, including Mauwake. Reduplication is a more productive process in the adjectives \REF{ex:3:x12}, \REF{ex:3:x481}, but it is possible for a few nouns too \REF{ex:3:x13}, \REF{ex:3:x1859} (\sectref{sec:3.2.6.2}).
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: sira-sira	 gloss: custom-custom
B: word: kaken	 gloss: straight
C: word: sira	 gloss: custom
D: word: neemi	 gloss: therefore

    Answer:
    ",A,A,True,0.9
