id,prompt,prediction,gold,cosine,bertscore,cosine_mean,bert_mean
0,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Moloko
    Sentence: \textbf{apazaŋ} albaja=ahaj tɔ-lɔ a lɪhɛ

    Gloss:
    \textbf{apazaŋ} → yesterday
albaja=ahaj → youth=Pl
tɔ-lɔ → 3P+PFV-go
a → at
lɪhɛ → bush

    Final Answer:
    ",The youth went to the bush yesterday.,"‘Yesterday the youths went to the bush.’

\ea",0.8238176107406616,0.923630952835083,0.6061360913515091,0.8881726551055908
1,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Moloko
    Sentence: \textbf{Hawa} à-həm-aj

    Gloss:
    \textbf{Hawa} → Hawa
à-həm-aj → 3S+PFV-run-CL

    Final Answer:
    ",She ran.,"‘Hawa ran.’

\ea",0.3994711935520172,0.8981840014457703,0.6061360913515091,0.8881726551055908
2,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Moloko
    Sentence: \textbf{nɛ}\textbf{=ahaŋ} n\'{ɔ}-zɔm na

    Gloss:
    \textbf{nɛ}\textbf{=ahaŋ} → oneS=3S.POSS
n\'{ɔ}-zɔm → 3S+PFV-eat
na → 3S.DO

    Final Answer:
    ",She ate her one.,"‘I myself ate it.’

\ea",0.534368634223938,0.8706532120704651,0.6061360913515091,0.8881726551055908
3,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Moloko
    Sentence: n\`{ə}-həm-aj

    Gloss:
    n\`{ə}-həm-aj → 1S+PFV-run-\CL

    Final Answer:
    ",I ran.,"‘I ran.’

\ea",0.6793652176856995,0.9053778648376465,0.6061360913515091,0.8881726551055908
4,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Moloko
    Sentence: dər=aka=alaj

    Gloss:
    dər=aka=alaj → move=on=away

    Final Answer:
    ",Move on to a different location.,"‘Move further over!’

\ea",0.3594786524772644,0.8416154980659485,0.6061360913515091,0.8881726551055908
5,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Moloko
    Sentence: n\`{ə}-vəl=aŋ na

    Gloss:
    n\`{ə}-vəl=aŋ → oneS+PFV-give=3S.IO
na → 3S.DO

    Final Answer:
    ",He gave it to him.,"‘I gave it to him.’

\ea",0.7860400676727295,0.9093093276023865,0.6061360913515091,0.8881726551055908
6,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Moloko
    Sentence: z=aw na=ala

    Gloss:
    z=aw → carry[twoS.IMP]=oneS.IO
na=ala → 3S.DO=to

    Final Answer:
    ",Carry it to him.,"‘Bring it to me!’

\ea",0.49660569429397583,0.8745778203010559,0.6061360913515091,0.8881726551055908
7,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Moloko
    Sentence: [Mana] [zar mɛ-hɛr-ɛ]

    Gloss:
    [Mana] → Mana
[zar → man
mɛ-hɛr-ɛ] → NOM-build-CL

    Final Answer:
    ",The Mana man builds.,"‘Mana [is] a builder.’ (lit. Mana, building-man)

\ea",0.7268409729003906,0.8606614470481873,0.6061360913515091,0.8881726551055908
8,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Moloko
    Sentence: [ɬəmaj=uwla] [Abaŋgaj]

    Gloss:
    [ɬəmaj=uwla] → name=oneS.POSS
[Abaŋgaj] → Abangay

    Final Answer:
    ",Abangay's one son.,"‘My name [is] Abangay.’

\ea",0.5661242604255676,0.8668748736381531,0.6061360913515091,0.8881726551055908
9,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Moloko
    Sentence: [zar nɛhɛ] [baba=uwla]

    Gloss:
    [zar → man
nɛhɛ] → DEM
[baba=uwla] → father=oneS.POSS

    Final Answer:
    ",That man is my father.,"‘The man [is] my father.’

\ea",0.7018349766731262,0.8949636816978455,0.6061360913515091,0.8881726551055908
