id,prompt,prediction,gold,correct,running_accuracy
0," Answer the following multiple choice question about Moloko grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 0:
You are a linguist specializing in Moloko. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): ___ albaja=ahaj tɔ-lɔ a lɪhɛ
Gloss (with missing item): ___ youth=Pl 3P+PFV-go at bush
The English translation of this sentence is:‘Yesterday the youths went to the bush.’
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: The first element in the clause can be a temporal noun phrase (\ref{ex:10:1}).
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: apazaŋ	 gloss: yesterday
B: word: ɛgɪnɛ	 gloss: today
C: word: mɛj	 gloss: how?
D: word: azana	 gloss: maybe

    Answer:
    ",A,A,True,1.0
1," Answer the following multiple choice question about Moloko grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 1:
You are a linguist specializing in Moloko. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): ___ à-həm-aj
Gloss (with missing item): ___ 3S+PFV-run-CL
The English translation of this sentence is:‘Hawa ran.’
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: The subject is expressed by the subject pronominal on the verb (\sectref{sec:7.3.1}). A coreferential noun phrase can be present for discourse functions (\ref{ex:10:2} and \ref{ex:10:3}). The coreferential noun phrase precedes the verb.
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: hawa	 gloss: Hawa
B: word: ana	 gloss: DAT
C: word: alma	 gloss: what
D: word: awak=ahaj	 gloss: goat=Pl

    Answer:
    ",A,A,True,1.0
2," Answer the following multiple choice question about Moloko grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 2:
You are a linguist specializing in Moloko. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): ___ n\'{ɔ}-zɔm na
Gloss (with missing item): ___ 3S+PFV-eat 3S.DO
The English translation of this sentence is:‘I myself ate it.’
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: The subject is expressed by the subject pronominal on the verb (\sectref{sec:7.3.1}). A coreferential noun phrase can be present for discourse functions (\ref{ex:10:2} and \ref{ex:10:3}). The coreferential noun phrase precedes the verb.
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: maj	 gloss: what
B: word: ɛlɛ=ahaŋ	 gloss: thing=3S.POSS
C: word: mɪ-mbɪɗ-ɛ=ahaŋ	 gloss: NOM-remain-CL=3S.POSS
D: word: nɛ=ahaŋ	 gloss: oneS=3S.POSS

    Answer:
    ",A,D,False,0.6666666666666666
3," Answer the following multiple choice question about Moloko grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 3:
You are a linguist specializing in Moloko. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): [babəza=ahaj nɪndijɛ] ___ bahaj]
Gloss (with missing item): children=Pl DEM ___ chief
The English translation of this sentence is:‘The children here belong to the chief.’ / ‘The children here[are] belonging to the chief.’
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: Predicate nominal (\ref{ex:10:10}--\ref{ex:10:12}), predicate adjective \REF{ex:10:13}, and predicate possessive (\ref{ex:10:14} and \ref{ex:10:15}) clauses lack any verb and consist of a juxtaposition of two noun phrases, in an order shown in \figref{fig:17}.
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: aŋga=uwla	 gloss: POSS=oneS.POSS
B: word: ɛtɛ	 gloss: please
C: word: aŋga	 gloss: POSS
D: word: mɪ-nʒ-ijɛ	 gloss: NOM-sit-CL

    Answer:
    ",A,C,False,0.5
4," Answer the following multiple choice question about Moloko grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 4:
You are a linguist specializing in Moloko. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): [dəraj ga] ___ lɪmɛ]
Gloss (with missing item): head ADJ ___ 1PEX
The English translation of this sentence is:‘The head belonged to us.’/ ‘The head [was] belonging to us.’
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: Predicate nominal (\ref{ex:10:10}--\ref{ex:10:12}), predicate adjective \REF{ex:10:13}, and predicate possessive (\ref{ex:10:14} and \ref{ex:10:15}) clauses lack any verb and consist of a juxtaposition of two noun phrases, in an order shown in \figref{fig:17}.
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: haj=va	 gloss: millet=PRF
B: word: aŋga=uwla	 gloss: POSS=oneS.POSS
C: word: kaj	 gloss: interj.
D: word: aŋga	 gloss: POSS

    Answer:
    ",D,D,True,0.6
5," Answer the following multiple choice question about Moloko grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 5:
You are a linguist specializing in Moloko. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): [à-l=ala ___
Gloss (with missing item): 3S+PFV-go=to ___
The English translation of this sentence is:‘He/she didn’t come.’
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: The all-purpose negative is the particle bay, which follows the verb phrase and occurs (\ref{ex:10:19}--\ref{ex:10:21}) before any interrogative word (see \sectref{sec:10.3}). In the examples in this section, the negative is bolded and the negation construction is in square brackets.
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: ɗaw	 gloss: {Q
B: word: asa-baj	 gloss: again-NEG
C: word: dər=aka=ala	 gloss: move[twoS.IMP]=on=to
D: word: baj	 gloss: NEG

    Answer:
    ",D,D,True,0.6666666666666666
6," Answer the following multiple choice question about Moloko grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 6:
You are a linguist specializing in Moloko. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): [táá-ɮəg=alaj avʊlɔ ___
Gloss (with missing item): 3P+POT-throw=away above ___
The English translation of this sentence is:‘They should not throw it too high.’
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: The all-purpose negative is the particle bay, which follows the verb phrase and occurs (\ref{ex:10:19}--\ref{ex:10:21}) before any interrogative word (see \sectref{sec:10.3}). In the examples in this section, the negative is bolded and the negation construction is in square brackets.
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: asa-baj	 gloss: again-NEG
B: word: baj	 gloss: NEG
C: word: a-dz=aŋ	 gloss: 3S-speak=3S.IO
D: word: alma	 gloss: what

    Answer:
    ",B,B,True,0.7142857142857143
7," Answer the following multiple choice question about Moloko grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 7:
You are a linguist specializing in Moloko. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): [ta-g=aw ɛlɛ lala ___
Gloss (with missing item): 3P-do=oneS.IO thing good ___
The English translation of this sentence is:‘They do bad things to me.’ / ‘They don’t do good things to me.’
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: In (\ref{ex:10:22}--\ref{ex:10:24}) the negative is clause-final and may have sematic scope over the entire proposition (c.f. constituent negation, \sectref{sec:10.2.3}). See especially \REF{ex:10:23} where it is clear that the entire proposition is being negated, and not just the information within the constituent closest to the negative. The meaning is ‘don’t insult a small person.’ If the information in only one constituent was being negated, the meaning would have been ‘insult a person who is not small.’
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: asa-baj	 gloss: again-NEG
B: word: alma	 gloss: what
C: word: l-ɔm	 gloss: go[IMP]-twoP
D: word: baj	 gloss: NEG

    Answer:
    ",D,D,True,0.75
8," Answer the following multiple choice question about Moloko grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 8:
You are a linguist specializing in Moloko. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): [à-ndaj dɪrɛŋ ___
Gloss (with missing item): 3S+PFV-PRG far ___
The English translation of this sentence is:‘He/she was not far.’
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: In (\ref{ex:10:22}--\ref{ex:10:24}) the negative is clause-final and may have sematic scope over the entire proposition (c.f. constituent negation, \sectref{sec:10.2.3}). See especially \REF{ex:10:23} where it is clear that the entire proposition is being negated, and not just the information within the constituent closest to the negative. The meaning is ‘don’t insult a small person.’ If the information in only one constituent was being negated, the meaning would have been ‘insult a person who is not small.’
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: mɛmɛ	 gloss: how
B: word: baj	 gloss: NEG
C: word: asa-baj	 gloss: again-NEG
D: word: a-həm-aj	 gloss: 3S-run-CL

    Answer:
    ",B,B,True,0.7777777777777778
9," Answer the following multiple choice question about Moloko grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 9:
You are a linguist specializing in Moloko. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): [ká-ras-aj mɪʒɛ tʃɪɗɛw ga ___
Gloss (with missing item): twoS+IFV-minimise-CL person smallness ADJ ___
The English translation of this sentence is:‘Don’t insult one of the little people.’
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: In (\ref{ex:10:22}--\ref{ex:10:24}) the negative is clause-final and may have sematic scope over the entire proposition (c.f. constituent negation, \sectref{sec:10.2.3}). See especially \REF{ex:10:23} where it is clear that the entire proposition is being negated, and not just the information within the constituent closest to the negative. The meaning is ‘don’t insult a small person.’ If the information in only one constituent was being negated, the meaning would have been ‘insult a person who is not small.’
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: hawa	 gloss: Hawa
B: word: asa-baj	 gloss: again-NEG
C: word: na-ɬ-aj	 gloss: oneS-slay-CL
D: word: baj	 gloss: NEG

    Answer:
    ",D,D,True,0.8
