id,prompt,prediction,gold,correct,running_accuracy
0," Answer the following multiple choice question about Kalamang grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 0:
You are a linguist specializing in Kalamang. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): lempuang temun=a ___ tumun-un=a wa
Gloss (with missing item): island big=FOC ___ child-3POSS=FOC PROX
The English translation of this sentence is:`The big island is yonder, the small one is here.'
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: The far distal is typically used on a bigger scale, across landscape. An example is~(\ref{exe:yonder}). The far distal basic form owa is hardly found uninflected. In this example, it carries a demonstrative suffix -ne, which I comment upon below.
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: mendak	 gloss: just_like_that
B: word: owa-ne	 gloss: FDIST-DEM
C: word: owandi	 gloss: like_over_there
D: word: owane	 gloss: FDIST

    Answer:
    ",B,B,True,1.0
1," Answer the following multiple choice question about Kalamang grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 1:
You are a linguist specializing in Kalamang. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): adi sor ___ [...] kabaruap
Gloss (with missing item): DER fish ___ {\ob}...{\cb} grouper
The English translation of this sentence is:`That fish up there {\ob}...{\cb} is a grouper.'
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: The elevational demonstratives refer to referents on a vertical axis: the morpheme ___ and yawe are used for referents which are located higher and lower, respectively, than the speaker or another point of reference. (\ref{exe:adisor}) and~(\ref{exe:yawee}) are adnominal uses.
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: mindi	 gloss: like_that
B: word: osa-t=ko	 gloss: UP-{\gltt}=LOC
C: word: oke	 gloss: okay
D: word: osa	 gloss: UP

    Answer:
    ",B,D,False,0.5
2," Answer the following multiple choice question about Kalamang grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 2:
You are a linguist specializing in Kalamang. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): ma tamatko ka bo minggalot-an ___ kome=te
Gloss (with missing item): 3SG where 2SG go bedroom-1SG.POSS ___ look=IMP
The English translation of this sentence is:`Where is it? You go look in my bedroom down there!'
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: The elevational demonstratives refer to referents on a vertical axis: osa and the morpheme ___ are used for referents which are located higher and lower, respectively, than the speaker or another point of reference. (\ref{exe:adisor}) and~(\ref{exe:the morpheme ___e}) are adnominal uses.
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: yawe	 gloss: DOWN
B: word: irul	 gloss: Irul
C: word: yawetko	 gloss: DOWN.LOC
D: word: wat	 gloss: coconut

    Answer:
    ",A,A,True,0.6666666666666666
3," Answer the following multiple choice question about Kalamang grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 3:
You are a linguist specializing in Kalamang. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): dodon ___ an masa
Gloss (with missing item): clothing ___ 1SG dry_in_sun
The English translation of this sentence is:`I dried those clothes [that we talked about] in the sun.'
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: The anaphoric demonstrative the morpheme ___ occurs with referents that in some respect represent knowledge already shared by the speaker and the addressee, typically those that are previously mentioned in discourse. The latter is the case with the referent dodon `clothing' in~(\ref{exe:dodonop}).
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: wanet	 gloss: PROX.OBJ
B: word: opa	 gloss: ANA
C: word: kit=ko	 gloss: top=LOC
D: word: opa_yuwa	 gloss: today

    Answer:
    ",B,B,True,0.75
4," Answer the following multiple choice question about Kalamang grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 4:
You are a linguist specializing in Kalamang. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): ma enem ___ tu
Gloss (with missing item): 3SG woman ___ hit
The English translation of this sentence is:`He hits this woman.'
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: Proximal demonstrative wa is prototypically used adnominally, pronominally and identificationally to indicate referents that are close to the speaker. (\ref{exe:waratu}) illustrates an adnominal and~(\ref{exe:dempro}) a pronominal use of the proximal demonstrative, both in object position (hence the object form wat). The demonstrative in~(\ref{exe:waratu}) refers to a woman in a picture in front of the speaker, with the speaker pointing at her. The demonstrative in~(\ref{exe:dempro}) stands in for a fishing net the speaker is holding.
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: wat=a	 gloss: PROX.OBJ=FOC
B: word: wat=at	 gloss: coconut=OBJ
C: word: yuwa=at=a	 gloss: PROX=OBJ=FOC
D: word: wane	 gloss: PROX

    Answer:
    ",C,A,False,0.6
5," Answer the following multiple choice question about Kalamang grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 5:
You are a linguist specializing in Kalamang. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): ki ___ napaki=kin ye ge
Gloss (with missing item): 2PL ___ use=VOL or not
The English translation of this sentence is:`Are you going to use this or not?'
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: Proximal demonstrative wa is prototypically used adnominally, pronominally and identificationally to indicate referents that are close to the speaker. (\ref{exe:waratu}) illustrates an adnominal and~(\ref{exe:dempro}) a pronominal use of the proximal demonstrative, both in object position (hence the object form the morpheme ___). The demonstrative in~(\ref{exe:waratu}) refers to a woman in a picture in front of the speaker, with the speaker pointing at her. The demonstrative in~(\ref{exe:dempro}) stands in for a fishing net the speaker is holding.
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: yuwa=at	 gloss: PROX=OBJ
B: word: watko	 gloss: PROX.LOC
C: word: mendak	 gloss: just_like_that
D: word: wat	 gloss: PROX.OBJ

    Answer:
    ",D,D,True,0.6666666666666666
6," Answer the following multiple choice question about Kalamang grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 6:
You are a linguist specializing in Kalamang. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): ma enem ___ tu
Gloss (with missing item): 3SG woman ___ hit
The English translation of this sentence is:`He hits this woman.'
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: Proximal demonstrative wa is prototypically used adnominally, pronominally and identificationally to indicate referents that are close to the speaker. (\ref{exe:waratu}) illustrates an adnominal and~(\ref{exe:dempro}) a pronominal use of the proximal demonstrative, both in object position (hence the object form wat). The demonstrative in~(\ref{exe:waratu}) refers to a woman in a picture in front of the speaker, with the speaker pointing at her. The demonstrative in~(\ref{exe:dempro}) stands in for a fishing net the speaker is holding.
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: yuwa=at=a	 gloss: PROX=OBJ=FOC
B: word: wat=at	 gloss: coconut=OBJ
C: word: mindi	 gloss: like_that
D: word: wat=a	 gloss: PROX.OBJ=FOC

    Answer:
    ",D,D,True,0.7142857142857143
7," Answer the following multiple choice question about Kalamang grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 7:
You are a linguist specializing in Kalamang. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): ki ___ napaki=kin ye ge
Gloss (with missing item): 2PL ___ use=VOL or not
The English translation of this sentence is:`Are you going to use this or not?'
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: Proximal demonstrative wa is prototypically used adnominally, pronominally and identificationally to indicate referents that are close to the speaker. (\ref{exe:waratu}) illustrates an adnominal and~(\ref{exe:dempro}) a pronominal use of the proximal demonstrative, both in object position (hence the object form the morpheme ___). The demonstrative in~(\ref{exe:waratu}) refers to a woman in a picture in front of the speaker, with the speaker pointing at her. The demonstrative in~(\ref{exe:dempro}) stands in for a fishing net the speaker is holding.
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: watko	 gloss: PROX.LOC
B: word: osa	 gloss: UP
C: word: wat	 gloss: PROX.OBJ
D: word: yuwa=at	 gloss: PROX=OBJ

    Answer:
    ",C,C,True,0.75
8," Answer the following multiple choice question about Kalamang grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 8:
You are a linguist specializing in Kalamang. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): namun=a ___ kiun=a wa tumun-un=a wa
Gloss (with missing item): husband.3POSS=FOC ___ wife-3POSS=FOC PROX child-3POSS=FOC PROX
The English translation of this sentence is:`This is the husband, this is the wife, this is their child.'
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: Two identificational examples are given in~(\ref{exe:namunathe morpheme ___}) and~(\ref{exe:dauanathe morpheme ___}). In~(\ref{exe:namunathe morpheme ___}), the speaker points at a picture with three people and identifies them one by one. (\ref{exe:dauanathe morpheme ___}) is from a story about a wedding, where the names of the bride's and groom's families are called out as a the morpheme ___y of introducing the family members to couple. Note that an identificational demonstrative follows a \is{focus}focused noun, but precedes a \is{topic}topicalised noun.
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: yuwandi	 gloss: like_this
B: word: wa	 gloss: PROX
C: word: ewa∼wa=in	 gloss: speak∼PROG=PROH
D: word: wangga	 gloss: PROX.LAT

    Answer:
    ",B,B,True,0.7777777777777778
9," Answer the following multiple choice question about Kalamang grammar.

    Respond ONLY with A, B, C, or D.

    Question:
    Question 9:
You are a linguist specializing in Kalamang. You are given a sentence along with its morpheme breakdown, gloss, and translation. Words are separated by spaces, and morphemes are separated by hyphens. However, a word and its gloss are missing and represented by an underscore. Based on your understanding, please choose the most appropriate option.
Sentence (with missing item): namun=a wa kiun=a ___ tumun-un=a wa
Gloss (with missing item): husband.3POSS=FOC PROX wife-3POSS=FOC ___ child-3POSS=FOC PROX
The English translation of this sentence is:`This is the husband, this is the wife, this is their child.'
Here is a relevant knowledge point for this example, with the related morphemes and glosses masked: Two identificational examples are given in~(\ref{exe:namunathe morpheme ___}) and~(\ref{exe:dauanathe morpheme ___}). In~(\ref{exe:namunathe morpheme ___}), the speaker points at a picture with three people and identifies them one by one. (\ref{exe:dauanathe morpheme ___}) is from a story about a wedding, where the names of the bride's and groom's families are called out as a the morpheme ___y of introducing the family members to couple. Note that an identificational demonstrative follows a \is{focus}focused noun, but precedes a \is{topic}topicalised noun.
Please only return the letter (A–D). Do not say anything else.

    Options:
    A: word: wa	 gloss: PROX
B: word: wangga	 gloss: PROX.LAT
C: word: ewa∼wa=in	 gloss: speak∼PROG=PROH
D: word: osanet	 gloss: UP.OBJ

    Answer:
    ",A,A,True,0.8
