id,prompt,prediction,gold,cosine,bertscore,cosine_mean,bert_mean
0,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Mauwake
    Sentence: yiena iiriw kae sira nain

    Gloss:
    yiena → 1p.GEN
iiriw → earlier
kae → 1s/p.grandfather
sira → custom
nain → that1

    Final Answer:
    ",My grandfather used to follow that custom.,that traditional custom of ours,0.6722421050071716,0.8813478350639343,0.6882062518596649,0.9095882737636566
1,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Mauwake
    Sentence: ona siowa

    Gloss:
    ona → 3s.GEN
siowa → dog

    Final Answer:
    ",The dog belongs to him.,his/her dog,0.6231917142868042,0.8804284930229187,0.6882062518596649,0.9095882737636566
2,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Mauwake
    Sentence: ifa nain

    Gloss:
    ifa → snake
nain → that1

    Final Answer:
    ",That snake.,the/that snake,0.7119733095169067,0.9082688689231873,0.6882062518596649,0.9095882737636566
3,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Mauwake
    Sentence: owow(a) maneka mua

    Gloss:
    owow(a) → village
maneka → big
mua → man

    Final Answer:
    ",The big man of the village.,townsman,0.5143750905990601,0.8884797692298889,0.6882062518596649,0.9095882737636566
4,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Mauwake
    Sentence: Wi sawur=ke kuura puuk-a-mik.

    Gloss:
    Wi → 3p.UNM
sawur=ke → spirit=CF
kuura → fly
puuk-a-mik. → change.into-PA-1/3p

    Final Answer:
    ",They changed into spirits by flying.,The spirits changed into flies.,0.8724724054336548,0.9425525665283203,0.6882062518596649,0.9095882737636566
5,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Mauwake
    Sentence: 'Yo nena niawi=ke nefa maak-i-yem.

    Gloss:
    'Yo → 1s.UNM
nena → 2s.GEN
niawi=ke → 2s/p.father=CF
nefa → 2s.ACC
maak-i-yem. → tell-Np-PR.1s

    Final Answer:
    ","I tell you, your father is telling me.","I, your father, tell you...",0.8477363586425781,0.9260604381561279,0.6882062518596649,0.9095882737636566
6,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Mauwake
    Sentence: Wi Lasen=ke ekap-e--mik.

    Gloss:
    Wi → 1p.UNM
Lasen=ke → Lasen=CF
ekap-e--mik. → come-PA-1/3p

    Final Answer:
    ",They came to us.,The Lasen (village) people came.,0.4275773763656616,0.9095422625541687,0.6882062518596649,0.9095882737636566
7,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Mauwake
    Sentence: ni aakis takira

    Gloss:
    ni → 2p.UNM
aakis → present-day
takira → young.person

    Final Answer:
    ",You are young people today.,you young people of today,0.8886536359786987,0.9238505959510803,0.6882062518596649,0.9095882737636566
8,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Mauwake
    Sentence: wi iiriw akena mua

    Gloss:
    wi → 3p.UNM
iiriw → earlier
akena → truly
mua → man

    Final Answer:
    ",They truly were men earlier.,the people of long ago,0.35449129343032837,0.8662673830986023,0.6882062518596649,0.9095882737636566
9,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Mauwake
    Sentence: sawur emeria ona onak wiawi

    Gloss:
    sawur → spirit
emeria → woman
ona → 3s.GEN
onak → 3s/p.mother
wiawi → 3s/p.father

    Final Answer:
    ",The spirit of the woman's mother is the woman's father.,the spirit woman's parents,0.8380576372146606,0.9007272720336914,0.6882062518596649,0.9095882737636566
